Hobey Baker*,1945,,,,,,,,,,,,,,
Charlie Gardiner*,1945,1928,1934,316,0,0,0,,2,316,112,152,52,,2.02
Eddie Gerard*,1945,1918,1923,128,50,48,98,,108,,,,,,
Frank McGee*,1945,,,,,,,,,,,,,,
Howie Morenz*,1945,1924,1937,550,271,201,472,,546,,,,,,
Tommy Phillips*,1945,,,,,,,,,,,,,,
Harvey Pulford*,1945,,,,,,,,,,,,,,
Hod Stuart*,1945,,,,,,,,,,,,,,
Georges Vezina*,1945,1918,1926,190,0,0,0,,2,190,103,81,5,,3.28
Russell Bowie*,1947,,,,,,,,,,,,,,
Dit Clapper*,1947,1928,1947,833,228,246,474,,462,,,,,,
Aurel Joliat*,1947,1923,1938,655,270,190,460,,771,,,,,,
Frank Nighbor*,1947,1918,1930,349,139,98,237,,249,,,,,,
Lester Patrick*,1947,1927,1927,1,0,0,0,,2,,,,,,
Eddie Shore*,1947,1927,1940,550,105,179,284,,1047,,,,,,
Cyclone Taylor*,1947,,,,,,,,,,,,,,
Dan Bain*,1949,,,,,,,,,,,,,,
Art Ross*,1949,1918,1918,3,1,0,1,,12,,,,,,
Scotty Davidson*,1950,,,,,,,,,,,,,,
Graham Drinkwater*,1950,,,,,,,,,,,,,,
Mike Grant*,1950,,,,,,,,,,,,,,
Si Griffis*,1950,,,,,,,,,,,,,,
Newsy Lalonde*,1950,1918,1927,99,125,41,166,,183,,,,,,
Joe Malone*,1950,1918,1924,126,143,32,175,,57,,,,,,
George Richardson*,1950,,,,,,,,,,,,,,
Harry Trihey*,1950,,,,,,,,,,,,,,
Dickie Boon*,1952,,,,,,,,,,,,,,
Bill Cook*,1952,1927,1937,474,229,138,367,,386,,,,,,
Moose Goheen*,1952,,,,,,,,,,,,,,
Moose Johnson*,1952,,,,,,,,,,,,,,
Mickey MacKay*,1952,1927,1930,147,44,19,63,,79,,,,,,
Nels Stewart*,1952,1926,1940,650,324,191,515,,953,,,,,,
Frank Boucher*,1958,1922,1944,557,160,263,423,,119,,,,,,
King Clancy*,1958,1922,1937,592,136,147,283,,914,2,0,0,0,,20
Sprague Cleghorn*,1958,1919,1928,259,83,55,138,,538,2,0,0,0,,0
Alec Connell*,1958,1925,1937,417,0,0,0,,4,417,193,156,67,,1.91
Red Dutton*,1958,1927,1936,449,29,67,96,,871,,,,,,
Frank Foyston*,1958,1927,1928,64,17,7,24,,32,,,,,,
Frank Fredrickson*,1958,1927,1931,161,39,34,73,,206,,,,,,
Herb Gardiner*,1958,1927,1929,108,10,9,19,,52,,,,,,
George Hay*,1958,1927,1933,238,74,60,134,,84,,,,,,
Dick Irvin*,1958,1927,1929,94,29,23,52,,78,,,,,,
Ching Johnson*,1958,1927,1938,436,38,48,86,,808,,,,,,
Duke Keats*,1958,1927,1929,82,30,19,49,,113,,,,,,
Hugh Lehman*,1958,1927,1928,48,0,0,0,,0,48,20,24,4,,2.68
George McNamara*,1958,,,,,,,,,,,,,,
Paddy Moran*,1958,,,,,,,,,,,,,,
Jack Adams*,1959,1918,1927,173,83,32,115,,366,,,,,,
Cy Denneny*,1959,1918,1929,328,248,85,333,,301,,,,,,
Tiny Thompson*,1959,1929,1940,553,0,1,1,,0,553,284,194,75,,2.08
Georges Boucher*,1960,1918,1932,449,117,87,204,,838,,,,,,
Sylvio Mantha*,1960,1924,1937,542,63,78,141,,671,,,,,,
Jack Walker*,1960,1927,1928,80,5,8,13,,18,,,,,,
Syl Apps*,1961,1937,1948,423,201,231,432,,56,,,,,,
Charlie Conacher*,1961,1930,1941,459,225,173,398,,523,4,0,0,0,,0
Hap Day*,1961,1925,1938,581,86,116,202,,601,,,,,,
George Hainsworth*,1961,1927,1937,465,0,0,0,,2,465,246,145,74,,1.93
Joe Hall*,1961,1918,1919,37,15,9,24,,235,,,,,,
Percy LeSueur*,1961,,,,,,,,,,,,,,
Frank Rankin*,1961,,,,,,,,,,,,,,
Maurice Richard*,1961,1943,1960,978,544,421,965,,1285,,,,,,
Milt Schmidt*,1961,1937,1955,776,229,346,575,,466,,,,,,
Oliver Seibert*,1961,,,,,,,,,,,,,,
Bruce Stuart*,1961,,,,,,,,,,,,,,
Punch Broadbent*,1962,1919,1929,303,121,51,172,,564,,,,,,
Harry Cameron*,1962,1918,1923,128,88,51,139,,189,,,,,,
Rusty Crawford*,1962,1918,1919,38,10,8,18,,117,,,,,,
Jack Darragh*,1962,1918,1924,121,66,46,112,,113,1,0,0,0,,0
Jim Gardner*,1962,,,,,,,,,,,,,,
Billy Gilmour*,1962,,,,,,,,,,,,,,
Shorty Green*,1962,1924,1927,103,33,20,53,,151,,,,,,
Riley Hern*,1962,,,,,,,,,,,,,,
Tom Hooper*,1962,,,,,,,,,,,,,,
Bowse Hutton*,1962,,,,,,,,,,,,,,
Harry Hyland*,1962,1918,1918,17,14,2,16,,65,,,,,,
