George Abbott,1944,1944,1,,0,1,0,7,,,,7.00,0,60,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
John Adams,1973,1975,22,,9,10,1,85,,,,4.32,1,1180,,,,,,0,0,0,2,0.0,0.0,1.5,1.5
David Aebischer,2001,2008,214,1,106,74,17,513,5807,5294,.912,2.52,13,12230,0,.000,0,,,0,5,5,30,0.0,0.0,39.1,39.1
Don Aiken,1958,1958,1,,0,1,0,6,,,,10.59,0,34,,,,,,0,0,0,0,0.0,0.0,-0.4,-0.4
Andy Aitkenhead,1933,1935,106,,47,43,16,257,,,,2.35,11,6570,,,,,,0,0,0,0,0.0,0.0,16.6,16.6
Sami Aittokallio,2013,2014,2,2,0,1,0,5,43,38,.884,3.37,0,89,1,.500,1,,,0,0,0,0,0.0,0.0,0.1,0.1
Jake Allen,2013,2015,48,41,28,10,4,108,1145,1037,.906,2.45,5,2642,20,.488,10,,,0,2,2,2,0.0,0.0,5.8,5.8
Red Almas,1947,1953,3,,0,2,1,13,,,,4.33,0,180,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
Frederik Andersen,2014,2015,79,72,53,16,5,177,2140,1963,.917,2.36,3,4495,42,.583,8,,,0,4,4,4,0.0,0.0,13.7,13.7
Craig Anderson,2003,2015,406,329,182,148,48,1041,12299,11258,.915,2.72,29,22923,191,.581,49,,,0,12,12,52,0.0,0.0,80.0,80.0
Lorne Anderson,1952,1952,3,,1,2,0,18,,,,6.00,0,180,,,,,,0,0,0,0,0.0,0.0,-0.6,-0.6
Tom Askey,1998,1998,7,,0,1,2,12,113,101,.894,2.64,0,273,,,,,,0,0,0,0,0.0,0.0,0.5,0.5
Hardy Astrom,1978,1981,83,,17,44,12,278,,,,3.74,0,4456,,,,,,0,1,1,8,0.0,0.0,11.0,11.0
Jean-Sebastien Aubin,1999,2008,218,12,80,83,16,547,5455,4908,.900,2.93,7,11197,5,.417,4,,,0,3,3,10,0.0,0.0,29.3,29.3
Alex Auld,2002,2012,237,106,91,88,32,606,6293,5687,.904,2.80,6,12986,50,.472,18,,,0,7,7,12,0.0,0.0,35.8,35.8
Jason Bacashihua,2006,2007,38,,7,17,4,99,965,866,.897,3.19,0,1860,,,,,,0,1,1,2,0.0,0.0,5.3,5.3
Ryan Bach,1999,1999,3,,0,3,0,8,66,58,.879,4.44,0,108,,,,,,0,0,0,0,0.0,0.0,0.2,0.2
Richard Bachman,2011,2015,39,28,15,14,2,95,963,868,.901,3.02,2,1888,15,.536,8,,,0,1,1,0,0.0,0.0,4.5,4.5
Johan Backlund,2010,2010,1,1,0,1,0,2,24,22,.917,3.00,0,40,1,1.000,0,,,0,0,0,0,0.0,0.0,0.2,0.2
Niklas Backstrom,2007,2015,409,354,194,142,50,962,11283,10321,.915,2.48,28,23248,193,.545,59,,,0,5,5,22,0.0,0.0,73.3,73.3
Scott Bailey,1996,1997,19,,6,6,2,55,445,390,.876,3.42,0,965,,,,,,0,0,0,0,0.0,0.0,1.4,1.4
Steve Baker,1980,1983,57,,20,20,11,190,,,,3.70,3,3081,,,,,,0,0,0,7,0.0,0.0,8.2,8.2
Mike Bales,1993,1997,23,,2,15,1,77,589,512,.869,4.13,0,1120,,,,,,0,0,0,2,0.0,0.0,1.6,1.6
Murray Bannerman,1978,1987,289,,116,125,33,1051,6174,5428,.879,3.83,8,16470,,,,,,0,10,10,37,0.0,0.0,49.7,49.7
Marco Baron,1980,1985,86,,34,38,9,292,642,553,.861,3.63,1,4822,,,,,,0,4,4,56,0.0,0.0,14.7,14.7
Tom Barrasso,1984,2003,777,,369,277,86,2385,22090,19705,.892,3.24,38,44180,,,,,,0,48,48,437,0.0,0.0,127.8,127.8
Hank Bassen,1955,1968,156,,46,66,31,434,,,,2.97,5,8759,,,,,,0,2,2,38,0.0,0.0,21.7,21.7
Baz Bastien,1946,1946,5,,0,4,1,20,,,,4.00,0,300,,,,,,0,0,0,0,0.0,0.0,0.6,0.6
Garry Bauman,1967,1969,35,,5,16,6,102,,,,3.56,0,1719,,,,,,0,0,0,2,0.0,0.0,2.5,2.5
Don Beaupre,1981,1997,667,,268,277,75,2151,15419,13627,.884,3.45,17,37396,,,,,,0,8,8,283,0.0,0.0,101.2,101.2
Stephane Beauregard,1990,1994,90,,19,39,11,268,2220,1952,.879,3.65,2,4402,,,,,,0,2,2,6,0.0,0.0,10.6,10.6
Chris Beckford-Tseu,2008,2008,1,0,0,0,0,1,9,8,.889,2.22,0,27,0,,0,,,0,0,0,0,0.0,0.0,0.0,0.0
Jim Bedard,1978,1979,73,,17,40,13,278,,,,3.94,1,4232,,,,,,0,2,2,10,0.0,0.0,8.0,8.0
Marc Behrend,1984,1986,39,,12,19,3,160,1028,868,.844,4.82,1,1991,,,,,,0,0,0,0,0.0,0.0,3.3,3.3
Yves Belanger,1975,1980,78,,29,33,6,259,,,,3.76,2,4134,,,,,,0,5,5,4,0.0,0.0,8.9,8.9
Ed Belfour*,1989,2007,963,,484,320,125,2317,24751,22434,.906,2.50,76,55695,,,,,,0,34,34,380,0.0,0.0,157.3,157.3
Michel Belhumeur,1973,1976,65,,9,36,7,254,,,,4.61,0,3306,,,,,,0,4,4,12,0.0,0.0,3.1,3.1
Gordie Bell,1946,1946,8,,3,5,0,31,,,,3.87,0,480,,,,,,0,0,0,0,0.0,0.0,1.0,1.0
Clint Benedict*,1918,1930,362,,190,143,28,863,,,,2.32,57,22367,,,,,,0,0,0,7,0.0,0.0,77.2,77.2
Harvey Bennett,1945,1945,25,,10,12,2,103,,,,4.20,0,1470,,,,,,0,0,0,0,0.0,0.0,3.1,3.1
Jean-Claude Bergeron,1991,1997,72,,21,33,7,232,1728,1496,.866,3.69,1,3772,,,,,,0,2,2,4,0.0,0.0,5.4,5.4
Adam Berkhoel,2006,2006,9,,2,4,1,30,255,225,.882,3.81,0,473,,,,,,0,0,0,0,0.0,0.0,1.0,1.0
Tim Bernhardt,1983,1987,67,,17,36,7,267,1840,1594,.866,4.27,0,3748,,,,,,0,3,3,4,0.0,0.0,9.3,9.3
Jonathan Bernier,2008,2015,171,153,75,66,19,417,4954,4537,.916,2.63,9,9496,86,.562,23,,,0,4,4,4,0.0,0.0,31.2,31.2
Reto Berra,2014,2015,46,38,12,21,4,116,1117,1001,.896,3.05,0,2282,17,.447,9,,,0,0,0,2,0.0,0.0,4.3,4.3
Daniel Berthiaume,1987,1994,215,,81,90,21,714,5849,5135,.878,3.67,5,11662,,,,,,0,4,4,34,0.0,0.0,29.4,29.4
Allan Bester,1984,1996,219,,73,99,17,786,6699,5913,.883,4.01,7,11773,,,,,,0,8,8,32,0.0,0.0,37.6,37.6
Bill Beveridge,1930,1943,297,,87,166,42,879,,,,2.87,18,18375,,,,,,0,0,0,0,0.0,0.0,35.4,35.4
Paul Bibeault,1941,1947,214,,81,107,25,785,,,,3.65,10,12890,,,,,,0,0,0,2,0.0,0.0,30.9,30.9
Zac Bierk,1998,2004,47,,9,20,5,113,1145,1032,.901,3.18,1,2135,,,,,,0,1,1,6,0.0,0.0,6.2,6.2
Craig Billington,1986,2003,332,,110,149,31,1034,8388,7354,.877,3.63,9,17097,,,,,,0,6,6,42,0.0,0.0,33.3,33.3
Andre Binette,1955,1955,1,,1,0,0,4,,,,4.00,0,60,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
Les Binkley,1968,1972,196,,58,94,34,575,,,,3.12,11,11046,,,,,,0,1,1,2,0.0,0.0,26.5,26.5
Martin Biron,1996,2014,508,179,230,191,52,1247,13893,12646,.910,2.61,28,28614,90,.503,25,,,0,14,14,81,0.0,0.0,88.0,88.0
Ben Bishop,2009,2015,165,154,91,44,15,366,4444,4078,.918,2.39,11,9200,92,.597,23,,,0,4,4,10,0.0,0.0,29.1,29.1
Richard Bittner,1950,1950,1,,0,0,1,3,,,,3.00,0,60,,,,,,0,0,0,0,0.0,0.0,0.1,0.1
Dan Blackburn,2002,2003,63,,20,32,4,188,1777,1589,.894,3.22,1,3499,,,,,,0,0,0,12,0.0,0.0,8.0,8.0
Mike Blake,1982,1984,40,,13,15,5,150,891,773,.868,4.25,0,2117,,,,,,0,1,1,8,0.0,0.0,5.6,5.6
John Blue,1993,1996,46,,16,18,7,126,1141,1015,.890,3.00,1,2521,,,,,,0,2,2,13,0.0,0.0,6.0,6.0
Sergei Bobrovsky,2011,2015,224,213,120,71,23,533,6519,5986,.918,2.52,10,12710,128,.601,23,,,0,5,5,8,0.0,0.0,43.2,43.2
Gilles Boisvert,1960,1960,3,,0,3,0,9,,,,3.00,0,180,,,,,,0,0,0,0,0.0,0.0,0.5,0.5
Dan Bouchard,1973,1986,655,,286,232,113,2061,3137,2749,.876,3.26,27,37919,,,,,,0,29,29,253,0.0,0.0,113.3,113.3
Brian Boucher,2000,2013,328,87,120,139,45,822,8272,7450,.901,2.71,17,18220,47,.540,13,,,0,3,3,18,0.0,0.0,43.0,43.0
Claude Bourque,1939,1940,62,,16,38,8,193,,,,3.02,4,3830,,,,,,0,0,0,0,0.0,0.0,6.0,6.0
